resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,Inertial_Taylor,G2_SIGMA08,Monetary Policy Shock,Inflation,0,-0.022304491,-0.058333672,-0.098272103,-0.134612464,-0.140903438,-0.12460827,-0.096533531,-0.066268662,-0.040291174,-0.021734294,-0.011028627,-0.006864545,-0.007129757,-0.009640644,-0.012604721,-0.014829084,-0.015732271,-0.015232127,-0.013578251,-0.011182266,-0.008479602,-0.005837769,-0.003511466,-0.001635693,-0.000243912,0.00070169,0.001278244,0.001575346,0.001676502,0.001649173,0.001541929,0.001386354,0.00120135,0.000997913,0.00078316,0.00056304,0.000343683,0.000131659,-6.64291E-05,-0.000244627,-0.000398265,-0.000524374,-0.000621821,-0.000691183,-0.000734437,-0.000754559,-0.000755112,-0.000739876,-0.000712569,-0.000676639,-0.000635152,-0.000590737,-0.000545576,-0.000501425,-0.00045965,-0.000421262,-0.00038696,-0.000357174,-0.000332098,-0.00031173,-0.00029591,-0.000284348,-0.000276664,-0.000272416,-0.000271129,-0.000272318,-0.000275506,-0.000280247,-0.00028613,-0.000292788,-0.000299906,-0.000307219,-0.000314511,-0.000321615,-0.000328405,-0.000334794,-0.00034073,-0.000346186,-0.000351159,-0.000355666,-0.000359733,-0.000363398,-0.000366704,-0.000369697,-0.000372421,-0.000374922,-0.00037724,-0.000379411,-0.000381468,-0.000383439,-0.000385344,-0.000387202,-0.000389025,-0.000390823,-0.0003926,-0.000394361,-0.000396106,-0.000397832,-0.000399539
IRF,Inertial_Taylor,G2_SIGMA08,Monetary Policy Shock,Interest,0,0.973235917,0.683640236,0.452161841,0.268708471,0.133476131,0.042659077,-0.011163864,-0.037287309,-0.045038477,-0.042425731,-0.035438626,-0.027925069,-0.021868669,-0.017872599,-0.015687634,-0.014673643,-0.014137344,-0.013533368,-0.012545866,-0.011083583,-0.009224901,-0.007144709,-0.005045951,-0.003108766,-0.001461468,-0.000171453,0.00074926,0.001330174,0.001625797,0.001700547,0.001617364,0.001430738,0.001183713,0.000907844,0.000624913,0.000349327,9.04617E-05,-0.000145496,-0.00035433,-0.000533149,-0.000680142,-0.000794562,-0.00087676,-0.000928193,-0.000951322,-0.000949437,-0.000926404,-0.000886392,-0.000833608,-0.000772072,-0.000705446,-0.000636926,-0.000569183,-0.000504354,-0.000444063,-0.000389462,-0.000341289,-0.000299925,-0.000265454,-0.000237721,-0.000216382,-0.000200956,-0.000190862,-0.000185463,-0.000184094,-0.000186091,-0.000190813,-0.00019766,-0.000206086,-0.000215606,-0.0002258,-0.000236317,-0.00024687,-0.000257233,-0.000267238,-0.000276764,-0.000285737,-0.000294115,-0.000301889,-0.000309071,-0.000315691,-0.00032179,-0.000327416,-0.000332623,-0.000337465,-0.000341992,-0.000346252,-0.00035029,-0.000354142,-0.000357841,-0.000361412,-0.000364878,-0.000368252,-0.000371547,-0.000374768,-0.00037792,-0.000381005,-0.000384021,-0.000386966
IRF,Inertial_Taylor,G2_SIGMA08,Monetary Policy Shock,Output,0,-0.14719919,-0.198038501,-0.195918894,-0.168743987,-0.133341869,-0.098890846,-0.069602685,-0.046675201,-0.029653433,-0.017346491,-0.008413201,-0.001697435,0.003624056,0.008025757,0.011698237,0.014649024,0.016804961,0.01809388,0.018495562,0.018061837,0.016912061,0.01521317,0.013153487,0.010917661,0.00866739,0.006529922,0.004594111,0.002912478,0.001507085,0.000377097,-0.000493679,-0.001130362,-0.001562176,-0.001819252,-0.001930786,-0.001924155,-0.001824596,-0.001655135,-0.001436574,-0.001187441,-0.000923897,-0.000659624,-0.000405753,-0.000170861,3.89329E-05,0.000219784,0.000369852,0.000488984,0.000578375,0.000640224,0.000677426,0.00069329,0.000691312,0.000674988,0.000647669,0.000612461,0.000572155,0.000529184,0.000485601,0.000443083,0.000402942,0.000366146,0.000333356,0.000304959,0.000281107,0.000261763,0.000246737,0.000235723,0.000228337,0.000224144,0.000222686,0.000223505,0.000226158,0.00023023,0.000235345,0.000241171,0.000247423,0.000253863,0.000260298,0.00026658,0.000272599,0.000278282,0.000283583,0.000288483,0.000292981,0.000297094,0.000300848,0.000304279,0.000307425,0.000310327,0.000313026,0.000315558,0.000317961,0.000320264,0.000322494,0.000324673,0.000326818,0.000328943,0.000331056
IRF,Inertial_Taylor,G2_SIGMA08,Monetary Policy Shock,Output Gap,0,-0.14719919,-0.195292596,-0.189730382,-0.159465884,-0.121731462,-0.085759359,-0.055664784,-0.032509298,-0.015710437,-0.003972106,0.00413126,0.009824834,0.013990339,0.017153152,0.019548686,0.021223912,0.022139913,0.022253501,0.021568033,0.020153332,0.018141095,0.01570504,0.013035045,0.010312655,0.007692586,0.005292112,0.003188067,0.001419797,-4.17232E-06,-0.00109793,-0.001890154,-0.002417339,-0.002718776,-0.002833263,-0.002797244,-0.002643981,-0.002403317,-0.002101716,-0.001762379,-0.001405329,-0.00104745,-0.000702517,-0.00038125,-9.14289E-05,0.000161894,0.000376115,0.000550723,0.000686915,0.000787194,0.000854992,0.00089432,0.00090948,0.000904818,0.00088454,0.000852572,0.000812465,0.000767339,0.000719855,0.00067221,0.000626149,0.000582996,0.00054369,0.000508828,0.000478716,0.000453415,0.000432792,0.000416563,0.000404339,0.000395661,0.000390034,0.000386951,0.00038592,0.000386477,0.000388199,0.000390712,0.000393694,0.00039688,0.000400055,0.000403055,0.000405763,0.0004081,0.000410024,0.00041152,0.000412599,0.000413286,0.000413621,0.000413651,0.00041343,0.000413009,0.000412442,0.000411777,0.000411058,0.000410324,0.000409608,0.000408936,0.000408329,0.0004078,0.000407361,0.000407015
IRF,Inertial_Taylor,G2_SIGMA08,Monetary Policy Shock,inflationq,0,-0.089217965,-0.144116725,-0.159753724,-0.145361444,-0.114381859,-0.078936055,-0.047454769,-0.024301968,-0.010471906,-0.004708532,-0.004632101,-0.007645641,-0.011532754,-0.01475208,-0.016488409,-0.016543094,-0.015145499,-0.012751507,-0.009872905,-0.006959152,-0.004334847,-0.002184172,-0.000567692,0.000543939,0.001232279,0.001598236,0.001738521,0.001732349,0.001636903,0.00148892,0.001309542,0.00111005,0.000896888,0.000675172,0.000450529,0.000229571,1.94605E-05,-0.000172923,-0.000341825,-0.000483221,-0.00059509,-0.000677359,-0.000731614,-0.00076067,-0.000768106,-0.000757847,-0.000733824,-0.000699729,-0.000658876,-0.000614127,-0.000567876,-0.000522068,-0.000478232,-0.000437526,-0.000400775,-0.000368513,-0.000341026,-0.000318381,-0.000300471,-0.000287044,-0.000277743,-0.000272133,-0.000269736,-0.000270054,-0.000272595,-0.000276886,-0.000282491,-0.000289018,-0.000296124,-0.000303518,-0.000310963,-0.000318269,-0.000325293,-0.000331933,-0.000338123,-0.000343827,-0.000349035,-0.000353757,-0.000358018,-0.000361853,-0.000365304,-0.000368418,-0.000371242,-0.000373822,-0.000376202,-0.000378421,-0.000380513,-0.000382508,-0.000384432,-0.000386302,-0.000388134,-0.000389939,-0.000391724,-0.000393493,-0.000395246,-0.000396983,-0.000398702,-0.000400399,-0.000402072
IRF,Inertial_Taylor,G3_CW03,Monetary Policy Shock,Inflation,0,-0.005616754,-0.01461335,-0.026478481,-0.041110197,-0.051722395,-0.059723018,-0.064860115,-0.066534581,-0.065400329,-0.061942949,-0.056742698,-0.050460751,-0.043684377,-0.036907606,-0.030511831,-0.024755755,-0.019785178,-0.015650408,-0.012327688,-0.009741914,-0.007787687,-0.006347086,-0.005303386,-0.004550565,-0.003998933,-0.003577504,-0.00323388,-0.002932432,-0.002651484,-0.002380099,-0.002114906,-0.001857274,-0.001611001,-0.001380582,-0.00117004,-0.000982254,-0.000818684,-0.000679377,-0.000563179,-0.00046803,-0.000391297,-0.000330094,-0.000281534,-0.000242938,-0.000211953,-0.000186628,-0.00016542,-0.000147176,-0.000131083,-0.000116603,-0.000103408,-9.13192E-05,-8.02545E-05,-7.01821E-05,-6.10911E-05,-5.297E-05,-4.57943E-05,-3.9522E-05,-3.40933E-05,-2.94344E-05,-2.54619E-05,-2.20889E-05,-1.92291E-05,-1.68016E-05,-1.47331E-05,-1.296E-05,-1.14288E-05,-1.00957E-05,-8.92603E-06,-7.89286E-06,-6.97559E-06,-6.15862E-06,-5.43003E-06,-4.78051E-06,-4.2025E-06,-3.68952E-06,-3.23576E-06,-2.83581E-06,-2.48447E-06,-2.17677E-06,-1.90792E-06,-1.6734E-06,-1.46898E-06,-1.2908E-06,-1.13535E-06,-1.00E-06,-8.81E-07,-7.76E-07,-6.85E-07,-6.04E-07,-5.33E-07,-4.70E-07,-4.14E-07,-3.65E-07,-3.22E-07,-2.83E-07,-2.49E-07,-2.19E-07,-1.93E-07
IRF,Inertial_Taylor,G3_CW03,Monetary Policy Shock,Interest,0,0.994518065,0.729410395,0.519553195,0.352134811,0.220854523,0.120214512,0.045642102,-0.006797827,-0.041012582,-0.0607205,-0.069375224,-0.070094622,-0.065563459,-0.057982408,-0.049057522,-0.040023392,-0.031694653,-0.024535179,-0.018734855,-0.014285695,-0.011051036,-0.008823806,-0.007372013,-0.006471288,-0.005925568,-0.005577798,-0.005312895,-0.005055248,-0.004762857,-0.00441984,-0.00402866,-0.003602992,-0.003161785,-0.002724771,-0.002309412,-0.001929162,-0.001592783,-0.001304446,-0.001064359,-0.000869656,-0.000715387,-0.00059545,-0.000503384,-0.000432979,-0.000378691,-0.000335877,-0.000300882,-0.000271005,-0.000244398,-0.000219912,-0.000196933,-0.000175221,-0.000154769,-0.000135692,-0.000118136,-0.000102231,-8.80496E-05,-7.56007E-05,-6.48282E-05,-5.5622E-05,-4.7833E-05,-4.1289E-05,-3.58105E-05,-3.12223E-05,-2.73634E-05,-2.40927E-05,-2.12913E-05,-1.88636E-05,-1.67349E-05,-1.48491E-05,-1.31655E-05,-1.16549E-05,-1.02968E-05,-9.07657E-06,-7.983E-06,-7.0069E-06,-6.13989E-06,-5.37379E-06,-4.70025E-06,-4.11077E-06,-3.59676E-06,-3.14973E-06,-2.76151E-06,-2.42445E-06,-2.13153E-06,-1.8765E-06,-1.65387E-06,-1.45894E-06,-1.28772E-06,-1.13691E-06,-1.00373E-06,-8.86E-07,-7.82E-07,-6.89E-07,-6.07E-07,-5.35E-07,-4.71E-07,-4.14E-07,-3.64E-07
IRF,Inertial_Taylor,G3_CW03,Monetary Policy Shock,Output,0,-0.027005222,-0.087985175,-0.140601373,-0.176910093,-0.190805497,-0.184241988,-0.161569911,-0.128631487,-0.091112706,-0.053859656,-0.020450699,0.006876622,0.027113186,0.040244313,0.046969761,0.048425267,0.045938663,0.040837707,0.0343153,0.027349309,0.020668944,0.014757027,0.009876886,0.006113467,0.003419984,0.001663534,0.000665272,0.00023268,0.000183082,0.000358716,0.000634477,0.00091985,0.001156672,0.001314291,0.001383448,0.001369937,0.001288763,0.001159257,0.001001345,0.000832998,0.000668733,0.000519002,0.000390229,0.000285283,0.000204205,0.000145011,0.00010447,7.87806E-05,6.40954E-05,5.68985E-05,5.423E-05,5.37884E-05,5.39346E-05,5.36296E-05,5.23325E-05,4.98807E-05,4.63719E-05,4.2058E-05,3.72585E-05,3.22962E-05,2.74542E-05,2.29522E-05,1.89378E-05,1.54894E-05,1.26256E-05,1.03192E-05,8.51157E-06,7.12625E-06,6.08069E-06,5.29495E-06,4.69773E-06,4.22971E-06,3.84483E-06,3.50987E-06,3.20292E-06,2.91137E-06,2.62953E-06,2.35649E-06,2.09413E-06,1.84563E-06,1.61431E-06,1.40292E-06,1.21322E-06,1.04586E-06,9.00E-07,7.76E-07,6.70E-07,5.81E-07,5.06E-07,4.43E-07,3.90E-07,3.45E-07,3.05E-07,2.71E-07,2.41E-07,2.15E-07,1.91E-07,1.69E-07,1.50E-07
IRF,Inertial_Taylor,G3_CW03,Monetary Policy Shock,Output Gap,0,-0.027005222,-0.087985175,-0.140601373,-0.176910093,-0.190805497,-0.184241988,-0.161569911,-0.128631487,-0.091112706,-0.053859656,-0.020450699,0.006876622,0.027113186,0.040244313,0.046969761,0.048425267,0.045938663,0.040837707,0.0343153,0.027349309,0.020668944,0.014757027,0.009876886,0.006113467,0.003419984,0.001663534,0.000665272,0.00023268,0.000183082,0.000358716,0.000634477,0.00091985,0.001156672,0.001314291,0.001383448,0.001369937,0.001288763,0.001159257,0.001001345,0.000832998,0.000668733,0.000519002,0.000390229,0.000285283,0.000204205,0.000145011,0.00010447,7.87806E-05,6.40954E-05,5.68985E-05,5.423E-05,5.37884E-05,5.39346E-05,5.36296E-05,5.23325E-05,4.98807E-05,4.63719E-05,4.2058E-05,3.72585E-05,3.22962E-05,2.74542E-05,2.29522E-05,1.89378E-05,1.54894E-05,1.26256E-05,1.03192E-05,8.51157E-06,7.12625E-06,6.08069E-06,5.29495E-06,4.69773E-06,4.22971E-06,3.84483E-06,3.50987E-06,3.20292E-06,2.91137E-06,2.62953E-06,2.35649E-06,2.09413E-06,1.84563E-06,1.61431E-06,1.40292E-06,1.21322E-06,1.04586E-06,9.00E-07,7.76E-07,6.70E-07,5.81E-07,5.06E-07,4.43E-07,3.90E-07,3.45E-07,3.05E-07,2.71E-07,2.41E-07,2.15E-07,1.91E-07,1.69E-07,1.50E-07
IRF,Inertial_Taylor,G3_CW03,Monetary Policy Shock,inflationq,0,-0.022467016,-0.035986383,-0.047460525,-0.058526863,-0.064915809,-0.067988877,-0.068008912,-0.065224726,-0.060378802,-0.054159358,-0.047207905,-0.040096938,-0.033273307,-0.027052275,-0.021624804,-0.017072634,-0.013390999,-0.010513197,-0.008333923,-0.006729537,-0.005574093,-0.004750793,-0.00415912,-0.003718252,-0.003367565,-0.003065077,-0.002784625,-0.002512459,-0.002243774,-0.001979538,-0.001723854,-0.001481932,-0.001258681,-0.001057859,-0.000881686,-0.000730792,-0.000604398,-0.000500634,-0.000416894,-0.000350193,-0.000297469,-0.000255819,-0.000222657,-0.000195806,-0.000173531,-0.000154516,-0.000137825,-0.000122833,-0.000109159,-9.65938E-05,-8.5044E-05,-7.448E-05,-6.49E-05,-5.63043E-05,-4.86802E-05,-4.19956E-05,-3.61973E-05,-3.12149E-05,-2.69655E-05,-2.33598E-05,-2.03075E-05,-1.77227E-05,-1.55264E-05,-1.36496E-05,-1.20336E-05,-1.06304E-05,-9.40148E-06,-8.31725E-06,-7.355E-06,-6.49768E-06,-5.73243E-06,-5.04938E-06,-4.44064E-06,-3.8996E-06,-3.42037E-06,-2.99746E-06,-2.62563E-06,-2.29979E-06,-2.01502E-06,-1.76664E-06,-1.55023E-06,-1.3617E-06,-1.19736E-06,-1.0539E-06,-9.28E-07,-8.18E-07,-7.22E-07,-6.37E-07,-5.62E-07,-4.96E-07,-4.37E-07,-3.85E-07,-3.39E-07,-2.99E-07,-2.63E-07,-2.32E-07,-2.04E-07,-1.79E-07,-1.58E-07
IRF,Inertial_Taylor,G7_TAY93,Monetary Policy Shock,Inflation,0,-0.008699367,-0.026241282,-0.048202332,-0.0733011,-0.086435271,-0.087169285,-0.079981683,-0.066447563,-0.053604468,-0.042323567,-0.033049491,-0.025895132,-0.020532156,-0.016604959,-0.013771103,-0.011731701,-0.010252748,-0.009158884,-0.008324359,-0.007662618,-0.007116036,-0.00664749,-0.006233777,-0.005860755,-0.005519925,-0.005206141,-0.004916134,-0.004647611,-0.004398745,-0.004167909,-0.003953553,-0.003754174,-0.003568322,-0.003394622,-0.003231796,-0.003078689,-0.002934276,-0.002797672,-0.002668121,-0.002544995,-0.002427778,-0.002316054,-0.002209488,-0.002107812,-0.00201081,-0.001918302,-0.001830136,-0.001746173,-0.001666281,-0.00159033,-0.001518182,-0.001449695,-0.001384716,-0.001323087,-0.001264638,-0.001209196,-0.001156584,-0.001106624,-0.001059139,-0.001013958,-0.000970917,-0.000929859,-0.000890642,-0.000853132,-0.000817212,-0.000782775,-0.000749732,-0.000718002,-0.000687518,-0.000658226,-0.000630078,-0.000603037,-0.00057707,-0.00055215,-0.000528255,-0.000505363,-0.000483452,-0.000462503,-0.000442492,-0.000423398,-0.000405192,-0.000387848,-0.000371335,-0.000355619,-0.000340667,-0.00032644,-0.000312903,-0.000300016,-0.000287742,-0.000276042,-0.00026488,-0.00025422,-0.000244029,-0.000234274,-0.000224927,-0.000215961,-0.000207352,-0.000199078,-0.000191121
IRF,Inertial_Taylor,G7_TAY93,Monetary Policy Shock,Interest,0,0.971635847,0.685928935,0.463659005,0.291454937,0.162505221,0.070623561,0.008906956,-0.028629281,-0.049112561,-0.058115657,-0.05985027,-0.057382185,-0.052768898,-0.047323965,-0.041830441,-0.03670958,-0.032151542,-0.028207308,-0.024850917,-0.022019571,-0.019637847,-0.01763122,-0.015932731,-0.014485476,-0.013242765,-0.012167114,-0.011228787,-0.010404282,-0.009674973,-0.009025971,-0.008445233,-0.007922882,-0.007450706,-0.007021796,-0.006630288,-0.00627118,-0.005940196,-0.005633684,-0.005348541,-0.005082144,-0.004832294,-0.004597161,-0.004375238,-0.004165294,-0.003966328,-0.003777532,-0.003598252,-0.003427953,-0.003266191,-0.003112587,-0.002966803,-0.00282853,-0.002697467,-0.002573315,-0.002455774,-0.002344531,-0.002239265,-0.002139648,-0.002045344,-0.001956015,-0.001871325,-0.001790943,-0.00171455,-0.001641842,-0.001572533,-0.00150636,-0.001443082,-0.001382485,-0.001324381,-0.001268604,-0.001215018,-0.001163504,-0.001113969,-0.001066333,-0.001020535,-0.000976523,-0.000934258,-0.000893704,-0.00085483,-0.000817607,-0.000782004,-0.000747991,-0.000715531,-0.000684585,-0.000655108,-0.000627052,-0.000600362,-0.000574981,-0.000550847,-0.000527898,-0.000506068,-0.000485291,-0.000465501,-0.000446635,-0.00042863,-0.000411428,-0.000394972,-0.000379213,-0.000364102
IRF,Inertial_Taylor,G7_TAY93,Monetary Policy Shock,Output,0,-0.200815122,-0.263659753,-0.261694573,-0.230411233,-0.189382045,-0.148534983,-0.112540672,-0.083133292,-0.060311403,-0.043279189,-0.030959742,-0.022270469,-0.016261607,-0.01216345,-0.009386436,-0.007498889,-0.006196609,-0.005272559,-0.004590409,-0.004063216,-0.003637239,-0.003280211,-0.002973197,-0.00270516,-0.002469491,-0.002261901,-0.002079208,-0.001918703,-0.001777852,-0.001654203,-0.001545383,-0.001449138,-0.001363389,-0.001286266,-0.001216143,-0.001151647,-0.001091653,-0.001035281,-0.000981862,-0.000930923,-0.00088215,-0.000835361,-0.000790475,-0.000747485,-0.000706432,-0.000667384,-0.000630414,-0.000595592,-0.000562966,-0.000532559,-0.000504362,-0.000478336,-0.000454404,-0.000432464,-0.000412384,-0.000394013,-0.000377185,-0.000361722,-0.000347447,-0.000334181,-0.000321756,-0.000310016,-0.000298818,-0.00028804,-0.000277579,-0.000267354,-0.000257303,-0.000247385,-0.000237577,-0.000227873,-0.000218281,-0.000208819,-0.000199514,-0.0001904,-0.000181514,-0.00017289,-0.000164566,-0.000156573,-0.000148938,-0.000141682,-0.00013482,-0.000128358,-0.000122299,-0.000116636,-0.000111356,-0.000106443,-0.000101874,-9.76254E-05,-9.36682E-05,-8.99738E-05,-8.6513E-05,-8.32567E-05,-8.01775E-05,-7.72497E-05,-7.44503E-05,-7.17588E-05,-6.9158E-05,-6.6634E-05,-6.41757E-05
IRF,Inertial_Taylor,G7_TAY93,Monetary Policy Shock,Output Gap,0,-0.200815122,-0.263659753,-0.261694573,-0.230411233,-0.189382045,-0.148534983,-0.112540672,-0.083133292,-0.060311403,-0.043279189,-0.030959742,-0.022270469,-0.016261607,-0.01216345,-0.009386436,-0.007498889,-0.006196609,-0.005272559,-0.004590409,-0.004063216,-0.003637239,-0.003280211,-0.002973197,-0.00270516,-0.002469491,-0.002261901,-0.002079208,-0.001918703,-0.001777852,-0.001654203,-0.001545383,-0.001449138,-0.001363389,-0.001286266,-0.001216143,-0.001151647,-0.001091653,-0.001035281,-0.000981862,-0.000930923,-0.00088215,-0.000835361,-0.000790475,-0.000747485,-0.000706432,-0.000667384,-0.000630414,-0.000595592,-0.000562966,-0.000532559,-0.000504362,-0.000478336,-0.000454404,-0.000432464,-0.000412384,-0.000394013,-0.000377185,-0.000361722,-0.000347447,-0.000334181,-0.000321756,-0.000310016,-0.000298818,-0.00028804,-0.000277579,-0.000267354,-0.000257303,-0.000247385,-0.000237577,-0.000227873,-0.000218281,-0.000208819,-0.000199514,-0.0001904,-0.000181514,-0.00017289,-0.000164566,-0.000156573,-0.000148938,-0.000141682,-0.00013482,-0.000128358,-0.000122299,-0.000116636,-0.000111356,-0.000106443,-0.000101874,-9.76254E-05,-9.36682E-05,-8.99738E-05,-8.6513E-05,-8.32567E-05,-8.01775E-05,-7.72497E-05,-7.44503E-05,-7.17588E-05,-6.9158E-05,-6.6634E-05,-6.41757E-05
IRF,Inertial_Taylor,G7_TAY93,Monetary Policy Shock,inflationq,0,-0.03479747,-0.070167658,-0.0878442,-0.100395072,-0.087334153,-0.073103715,-0.059093791,-0.046258591,-0.035961775,-0.027980111,-0.021997487,-0.017641154,-0.014509873,-0.012271321,-0.010662062,-0.009483549,-0.008594059,-0.007895867,-0.007323962,-0.006836584,-0.006407732,-0.006021682,-0.005669112,-0.005344493,-0.005044412,-0.004766547,-0.004509083,-0.004270401,-0.00404895,-0.003843201,-0.003651658,-0.003472887,-0.003305543,-0.003148398,-0.003000355,-0.002860459,-0.002727894,-0.002601979,-0.00248215,-0.002367955,-0.002259029,-0.002155083,-0.002055886,-0.001961251,-0.001871019,-0.001785053,-0.001703222,-0.001625399,-0.001551453,-0.001481245,-0.00141463,-0.00135145,-0.00129154,-0.001234727,-0.001180835,-0.001129683,-0.001081092,-0.001034886,-0.000990896,-0.000948959,-0.000908926,-0.000870656,-0.000834025,-0.000798921,-0.000765244,-0.000732912,-0.00070185,-0.000672,-0.000643311,-0.000615742,-0.000589259,-0.000563834,-0.000539443,-0.000516065,-0.000493678,-0.000472264,-0.000451801,-0.000432267,-0.000413637,-0.000395885,-0.00037898,-0.000362891,-0.000347584,-0.000333022,-0.000319169,-0.000305986,-0.000293435,-0.000281476,-0.000270072,-0.000259187,-0.000248786,-0.000238836,-0.000229306,-0.000220168,-0.000211398,-0.000202972,-0.000194869,-0.000187073,-0.000179569
